Timestamp,Luftfeuchtigkeit,Kabel Thermometer,,Temperatur Sensor 2,Luftdruck relativ,Luftdruck absolut,lux,RSSI,,,Ausensensor
04.12.2023 07:41:17,"83,2","-3,44",,"-2,24","976,01","1010,14",0,-53,,,
04.12.2023 08:09:33,"83,5","-3,31",,"-2,2","975,72","1009,83","7,13",-53,,,
04.12.2023 08:37:46,"82,8","-3,06",,"-1,8","975,91","1010,03",20,-53,,,
04.12.2023 09:06:03,"82,1","-2,19",,"-0,95","975,51","1009,62","286,67",-53,,,
04.12.2023 09:34:26,"80,4","-1,69",,"-0,08","975,24","1009,35",270,-53,,,
04.12.2023 10:02:38,77,-2,,"-0,19","975,34","1009,45","121,67",-55,,,
04.12.2023 10:30:50,"78,1","-1,63",,"-0,08","975,45","1009,56",145,-54,,,
04.12.2023 10:59:07,"77,7","-1,38",,"0,22","975,06","1009,16","143,33",-55,,,
04.12.2023 11:27:18,"79,7","-1,06",,"0,22","974,42","1008,49",175,-54,,,
04.12.2023 11:55:34,82,"-0,75",,"0,5","973,95","1008,01",225,-54,,,
04.12.2023 12:23:49,"82,9","-0,44",,"0,64","973,5","1007,54",190,-52,,,
04.12.2023 12:52:02,"84,9","-0,31",,"0,61","972,87","1006,89","203,33",-55,,,
04.12.2023 13:20:21,"86,6","0,19",,"1,29","972,28","1006,28","333,33",-53,,,
04.12.2023 13:48:34,"87,2","0,5",,"1,63","971,73","1005,71","176,67",-54,,,
04.12.2023 14:16:46,"87,1","0,31",,"1,47","971,36","1005,32","123,33",-53,,,
04.12.2023 14:44:56,"88,1","-0,25",,"0,82","970,9","1004,85","83,33",-53,,,
04.12.2023 15:13:14,89,0,,"1,36","970,42","1004,35","76,67",-58,,,
04.12.2023 15:41:29,"88,3","0,13",,"1,38","969,89","1003,81",50,-55,,,
04.12.2023 16:09:43,"88,7","0,5",,"1,47","969,74","1003,65","16,67",-55,,,
04.12.2023 16:37:58,"89,8","0,81",,"1,81","969,41","1003,31","5,89",-50,,,
04.12.2023 17:06:14,"90,3","0,81",,"1,94","969,21","1003,1",0,-50,,,
04.12.2023 17:34:28,"89,7","0,81",,"2,32","969,13","1003,01",0,-50,,,
04.12.2023 18:02:43,89,"0,88",,"2,24","968,75","1002,63",0,-51,,,
04.12.2023 18:30:53,"89,6","0,81",,"2,04","968,31","1002,17",0,-47,,,
04.12.2023 18:59:07,"90,1","1,06",,"2,43","968,03","1001,88",0,-52,,,
04.12.2023 19:27:23,"90,4","1,44",,"2,69","967,71","1001,54",0,-51,,,
04.12.2023 19:55:40,90,"1,38",,"2,81","967,61","1001,45",0,-51,,,
04.12.2023 20:23:50,"89,8","1,75",,"2,89","967,32","1001,15",0,-53,,,
04.12.2023 20:52:06,"89,8","1,81",,"3,07","967,1","1000,92",0,-49,,,
